id,team_id,team_name,pi_id,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,total
1,AT-800,800 Agile Team,PI-1902,32,28,32,24,32,28,176
2,AT-801,801 Agile Team,PI-1902,28,32,24,32,28,32,176
3,AT-802,802 Agile Team,PI-1902,32,24,32,28,32,32,180
4,AT-803,803 Agile Team,PI-1902,24,28,28,32,32,24,168
5,AT-804,804 Agile Team,PI-1902,24,28,32,32,24,32,172
6,AT-805,805 Agile Team,PI-1902,28,24,32,24,32,32,172
7,AT-806,806 Agile Team,PI-1902,32,28,24,32,32,32,180
8,AT-807,807 Agile Team,PI-1902,32,32,28,32,28,32,184
9,AT-808,808 Agile Team,PI-1902,32,32,32,28,32,24,180
10,AT-809,809 Agile Team,PI-1902,32,32,28,24,28,32,176
11,AT-810,810 Agile Team,PI-1902,32,32,24,32,24,28,172
12,AT-abc1,Agile Team 1000 1,PI-1902,32,32,28,32,28,32,184
13,AT-abc10,Agile Team 1000 10,PI-1902,24,28,32,28,32,32,176
14,AT-abc2,Agile Team 1000 2,PI-1902,32,32,28,32,28,28,180
15,AT-abc3,Agile Team 1000 3,PI-1902,32,28,24,32,32,32,180
16,AT-abc4,Agile Team 1000 4,PI-1902,28,32,32,24,32,32,180
17,AT-abc5,Agile Team 1000 5,PI-1902,32,28,28,28,32,32,180
18,AT-abc6,Agile Team 1000 6,PI-1902,32,32,28,32,24,32,180
19,AT-abc7,Agile Team 1000 7,PI-1902,32,32,32,28,28,24,176
20,AT-abc8,Agile Team 1000 8,PI-1902,32,32,28,32,28,24,176
21,AT-abc9,Agile Team 1000 9,PI-1902,32,32,32,28,32,28,184
22,AT-800,800 Agile Team,PI-1902,32,28,32,24,32,28,176
23,AT-801,801 Agile Team,PI-1902,28,32,24,32,28,32,176
24,AT-802,802 Agile Team,PI-1902,32,24,32,28,32,32,180
25,AT-803,803 Agile Team,PI-1902,24,28,28,32,32,24,168
26,AT-804,804 Agile Team,PI-1902,24,28,32,32,24,32,172
27,AT-805,805 Agile Team,PI-1902,28,24,32,24,32,32,172
28,AT-806,806 Agile Team,PI-1902,32,28,24,32,32,32,180
29,AT-807,807 Agile Team,PI-1902,32,32,28,32,28,32,184
30,AT-808,808 Agile Team,PI-1902,32,32,32,28,32,24,180
31,AT-809,809 Agile Team,PI-1902,32,32,28,24,28,32,176
32,AT-810,810 Agile Team,PI-1902,32,32,24,32,24,28,172
33,AT-abc1,Agile Team 1000 1,PI-1902,32,32,28,32,28,32,184
34,AT-abc10,Agile Team 1000 10,PI-1902,24,28,32,28,32,32,176
35,AT-abc2,Agile Team 1000 2,PI-1902,32,32,28,32,28,28,180
36,AT-abc3,Agile Team 1000 3,PI-1902,32,28,24,32,32,32,180
37,AT-abc4,Agile Team 1000 4,PI-1902,28,32,32,24,32,32,180
38,AT-abc5,Agile Team 1000 5,PI-1902,32,24,32,28,32,32,180
39,AT-abc6,Agile Team 1000 6,PI-1902,24,28,28,32,32,24,168
40,AT-abc7,Agile Team 1000 7,PI-1902,24,28,32,32,24,32,172
41,AT-abc8,Agile Team 1000 8,PI-1902,28,24,32,24,32,32,172
42,AT-abc9,Agile Team 1000 9,PI-1902,32,28,24,32,32,32,180
43,AT-800,800 Agile Team,PI-1902,32,32,28,32,28,32,184
44,AT-801,801 Agile Team,PI-1902,28,32,32,24,32,32,180
